[Wed May 03 13:52:12.596341 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54195] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:53:33.395424 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54213] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:53:33.395424 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54213] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:53:33.395424 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54213] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:53:33.395424 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54213] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:53:33.395424 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54213] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:53:33.395424 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54213] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:53:33.395424 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54213] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:53:33.395424 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54213] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:54:18.244355 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54219] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:54:18.244855 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54219] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:54:18.244855 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54219] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:54:18.245356 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54219] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:54:18.245356 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54219] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:54:18.245356 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54219] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:54:18.245857 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54219] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:54:18.245857 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54219] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 14:23:16.118673 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54712] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 58, referer: http://faculty.com/admin/index.php
[Wed May 03 15:53:09.649168 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61367] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 251, referer: http://faculty.com/admin/index.php
[Wed May 03 15:53:09.649168 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61367] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 251, referer: http://faculty.com/admin/index.php
[Wed May 03 15:58:07.627987 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61554] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 15:58:07.627987 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61554] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 15:58:07.627987 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61554] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 15:58:40.243740 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61570] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 15:58:40.243740 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61570] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 15:58:40.243740 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61570] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 15:59:20.503487 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61592] PHP Catchable fatal error:  Object of class search could not be converted to string in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 135, referer: http://faculty.com/admin/index.php
[Wed May 03 15:59:43.063506 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61605] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 15:59:43.063506 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61605] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
